0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,1,5,2,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,0,1,1,1,1,5,5,5,2,2,2,2,2,2,3,3,3,3,3,3
0,0,0,0,0,4,4,4,4,5,5,5,5,5,2,2,2,2,2,6,3,3,3,3,3
0,0,0,0,4,4,4,4,4,5,5,5,5,5,5,2,2,2,6,6,6,3,3,3,3
0,0,0,4,4,4,4,4,4,5,5,5,5,5,5,5,2,6,6,6,6,6,3,3,3
0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,3,3
0,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,3
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,4,8,8,8,8,8,8,9,9,9,6,6,6,6,6,6,6,6
4,4,4,4,4,4,4,8,8,8,8,8,8,8,9,9,9,9,6,6,6,6,6,6,6
4,4,4,4,4,4,8,8,8,8,8,8,8,8,9,9,9,9,9,6,6,6,6,6,6
4,4,4,4,4,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,6,6,6,6,6
4,4,4,4,4,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,6,6
7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9
7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,11
7,7,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,11,11
7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11
7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11
7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,11,11,11,11
7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,9,11,11,11,11
7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,11,11
7,7,7,7,7,7,7,8,8,8,8,8,10,10,9,9,9,9,9,9,11,11,11,11,11
7,7,7,7,7,7,7,8,8,8,8,10,10,10,10,9,9,9,9,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,9,9,9,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,9,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
7,7,7,7,7,7,7,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11
