0,1,11.000,3.0
0,4,28.000,12.0
1,0,13.000,1.5
1,2,10.000,8.2
1,4,27.474,6.3
1,5,19.342,2.0
2,1,13.000,3.5
2,3,13.000,7.4
2,5,15.153,9.1
2,6,21.764,6.5
3,2,16.000,6.4
3,6,16.000,7.3
4,0,30.000,2.9
4,1,19.974,3.4
4,5,14.796,8.1
4,7,10.000,5.1
4,8,12.444,6.7
5,1,18.342,1.5
5,2,18.653,7.2
5,4,20.296,8.6
5,6,16.500,9.1
5,8,13.555,4.1
5,9,16.796,1.6
6,2,23.264,8.1
6,3,20.500,9.1
6,5,12.500,6.1
6,9,11.796,9.3
7,4,15.000,3.6
7,8,14.934,8.4
7,10,14.207,4.8
8,4,12.444,3.4
8,5,15.555,9.1
8,7,13.934,5.2
8,9,7.5000,8.7
8,10,21.533,3.0
9,5,17.796,4.5
9,6,18.796,3.5
9,8,12.500,7.8
9,10,19.053,4.6
9,11,24.617,8.1
10,7,18.707,0.6
10,8,20.533,7.0
10,9,21.053,0.8
10,11,10.220,6.3
11,9,20.617,0.1
11,10,14.220,7.0
